item,type,subject,property,stimulus,question_type,prompt,choices,answer,catch,list_number
feathers are light,principled,feathers, are light,"<i>Because</i> they are feathers, feathers are light.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
journalists report news,principled,journalists, report news,"<i>Because</i> they are journalists, journalists report news.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
moose have antlers,principled,moose, have antlers,"<i>Because</i> they are moose, moose have antlers.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
preschoolers cannot vote,principled,preschoolers, cannot vote,"<i>Because</i> they are preschoolers, preschoolers cannot vote.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
scissors cut,principled,scissors, cut,"<i>Because</i> they are scissors, scissors cut.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
squirrels live in trees,principled,squirrels, live in trees,"<i>Because</i> they are squirrels, squirrels live in trees.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
trains travel on tracks,principled,trains, travel on tracks,"<i>Because</i> they are trains, trains travel on tracks.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
frenchmen drink wine,statistical,Frenchmen, drink wine,"Think about Frenchmen, how likely are they to drink wine?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
airplanes have passengers,statistical,airplanes, have passengers,"Think about airplanes, how likely are they to have passengers?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
bears perform at circuses,statistical,bears, perform at circuses,"Think about bears, how likely are they to perform at circuses?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
cars have radios ,statistical,cars, have radios,"Think about cars, how likely are they to have radios?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
dancers are fit,statistical,dancers, are fit,"Think about dancers, how likely are they to be fit?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
eggshells are white,statistical,eggshells, are white,"Think about eggshells, how likely are they to be white?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
grass grows on lawns,statistical,grass, grows on lawns,"Think about grass, how likely is it to grows on lawns?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
lifeguards are muscular,statistical,lifeguards, are muscular,"Think about lifeguards, how likely are they to be muscular?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
peacocks are ornamental pets,statistical,peacocks, are ornamental pets,"Think about peacocks, how likely are they to be ornamental pets?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
rocking chairs are wooden,statistical,rocking chairs, are wooden,"Think about rocking chairs, how likely are they to be wooden?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
snow falls in the winter,statistical,snow, snow falls in the winter,"Think about snow, how likely is it to snow falls in the winter?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
tables are made of wood,statistical,tables, are made of wood,"Think about tables, how likely are they to be made of wood?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
wallets are made of leather,statistical,wallets, are made of leather,"Think about wallets, how likely are they to be made of leather?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
canadians live north of the us,principled,Canadians, live north of the US,"Think about Canadians, how likely are they to live north of the US?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
mormons don’t drink alcohol,principled,Mormons, don’t drink alcohol,"Think about Mormons, how likely are they to not drink alcohol?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
bachelors are unmarried,principled,bachelors, are unmarried,"Think about bachelors, how likely are they to be unmarried?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
bricks are rectangular,principled,bricks, are rectangular,"Think about bricks, how likely are they to be rectangular?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
cherries are red ,principled,cherries, are red,"Think about cherries, how likely are they to be red?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
dogs bark at strangers,statistical,dogs, bark at strangers,"Think about dogs, how likely are they to bark at strangers?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
fire trucks have hoses,principled,fire trucks, have hoses,"Think about fire trucks, how likely are they to have hoses?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
kangaroos have pouches,principled,kangaroos, have pouches,"Think about kangaroos, how likely are they to have pouches?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
mushrooms are fungi,principled,mushrooms, are fungi,"Think about mushrooms, how likely are they to be fungi?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
professors are highly educated,principled,professors, are highly educated,"Think about professors, how likely are they to be highly educated?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
sheep produce milk,principled,sheep, produce milk,"Think about sheep, how likely are they to produce milk?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
strawberries are red ,principled,strawberries, are red,"Think about strawberries, how likely are they to be red?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
trampolines are bouncy,principled,trampolines, are bouncy,"Think about trampolines, how likely are they to be bouncy?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
germans drink beer ,statistical,Germans, drink beer,"You learn that [unknown thing/people] drink beer, how likely is it to be Germans?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
ambulances have seatbelts,statistical,ambulances, have seatbelts,"You learn that [unknown thing/people] have seatbelts, how likely is it to be ambulances?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
bees are worker bees,statistical,bees, are worker bees,"You learn that [unknown thing/people] are worker bees, how likely is it to be bees?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
cats like milk,statistical,cats, like milk,"You learn that [unknown thing/people] like milk, how likely is it to be cats?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
deer are brown,statistical,deer, are brown,"You learn that [unknown thing/people] are brown, how likely is it to be deer?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
elk are brown,statistical,elk, are brown,"You learn that [unknown thing/people] are brown, how likely is it to be elk?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
gymnasts are young,statistical,gymnasts, are young,"You learn that [unknown thing/people] are young, how likely is it to be gymnasts?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
lions are male,statistical,lions, are male,"You learn that [unknown thing/people] are male, how likely is it to be lions?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
pigeons sit on statues ,statistical,pigeons, sit on statues,"You learn that [unknown thing/people] sit on statues, how likely is it to be pigeons?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
rocks are jagged ,statistical,rocks, are jagged,"You learn that [unknown thing/people] are jagged, how likely is it to be rocks?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
sows are pink,statistical,sows, are pink,"You learn that [unknown thing/people] are pink, how likely is it to be sows?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
taxis are yellow ,statistical,taxis, are yellow,"You learn that [unknown thing/people] are yellow, how likely is it to be taxis?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
winters are snowy ,statistical,winters, are snowy,"You learn that [unknown thing/people] are snowy, how likely is it to be winters?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
christians read the bible,principled,Christians, read the bible,"You learn that [unknown thing/people] read the bible, how likely is it to be Christians?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
muslims pray to allah,principled,Muslims, pray to Allah,"You learn that [unknown thing/people] pray to Allah, how likely is it to be Muslims?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
bananas are yellow,principled,bananas, are yellow,"You learn that [unknown thing/people] are yellow, how likely is it to be bananas?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
bulldozers are heavy,principled,bulldozers, are heavy,"You learn that [unknown thing/people] are heavy, how likely is it to be bulldozers?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
clocks tell time,principled,clocks, tell time,"You learn that [unknown thing/people] tell time, how likely is it to be clocks?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
dolls are manufactured,principled,dolls, are manufactured,"You learn that [unknown thing/people] are manufactured, how likely is it to be dolls?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
goats have horns,principled,goats, have horns,"You learn that [unknown thing/people] have horns, how likely is it to be goats?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
lemons are sour ,principled,lemons, are sour,"You learn that [unknown thing/people] are sour, how likely is it to be lemons?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
needles are sharp,principled,needles, are sharp,"You learn that [unknown thing/people] are sharp, how likely is it to be needles?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
raccoons look like bandits,principled,raccoons, look like bandits,"You learn that [unknown thing/people] look like bandits, how likely is it to be raccoons?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
shower caps are waterproof,principled,shower caps, are waterproof,"You learn that [unknown thing/people] are waterproof, how likely is it to be shower caps?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
submarines are airtight,principled,submarines, are airtight,"You learn that [unknown thing/people] are airtight, how likely is it to be submarines?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
trumpets are instruments,principled,trumpets, are instruments,"You learn that [unknown thing/people] are instruments, how likely is it to be trumpets?",cue_validity,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,7
,,,,Please select <i>completely true</i>.,generic,,"completely false,,,neither true nor false,,,completely true",completely true,catch,7
,,,,Please select <i>completely false</i>.,by_virtue_of,,"completely false,,,neither true nor false,,,completely true",completely false,catch,7
,,,,Please select <i>completely true</i>.,prevalence,,"completely false,,,neither true nor false,,,completely true",completely true,catch,7
,,,,Please select <i>completely false</i>.,cue_validity,,"completely false,,,neither true nor false,,,completely true",completely false,catch,7
,,,,Please select <i>completely true</i>.,generic,,"completely false,,,neither true nor false,,,completely true",completely true,catch,7
,,,,Please select <i>completely false</i>.,by_virtue_of,,"completely false,,,neither true nor false,,,completely true",completely false,catch,7
,,,,Please select <i>completely true</i>.,prevalence,,"completely false,,,neither true nor false,,,completely true",completely true,catch,7
,,,,Please select <i>completely false</i>.,cue_validity,,"completely false,,,neither true nor false,,,completely true",completely false,catch,7
,,,,Committing murders for fun is morally wrong.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",completely true,filler,7
,,,,Stealing toys from little children is a bad thing to do.,by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",completely true,filler,7
,,,,One cent is a lot of money.,prevalence,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",completely false,filler,7
,,,,The tallest man alive is five feet tall.,cue_validity,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",completely false,filler,7
,,,,The heaviest man alive weighs twelve pounds.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",completely false,filler,7
,,,,Tornadoes are dangerous.,by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",completely true,filler,7
,,,,Getting struck by lightning is bad for your health.,prevalence,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",completely true,filler,7
,,,,Two plus one is equal to six.,cue_validity,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",completely false,filler,7
